titres,synopsis,resume
La mort de Dante Lazarescu,"Mr. Lazarescu, a 63 year old lonely man feels sick and calls the ambulance. When it arrives, the paramedic decides he should take him to the hospital but once there they decide to send him to another hospital and then yet another... As the night unfolds and they can't find a hospital for Mr. Lazarescu, his health starts to deteriorate fast.Written byAnonymous","Mr. Lãzãrescu, a dying old man, is shuttled from hospital to hospital by a loyal paramedic as doctors refuse to operate and no one can agree on a diagnosis."
Vettaiyaadu Vilaiyaadu,"Raghavan (Kamal Hassan), a top cop from the Tamil Nadu Police Department is faced with a series of rapes and brutal murders including those of his boss's family. The culprits are found soon enough but prove extremely evasive while they continue their murderous legacy undeterred.Written byVVlilai","A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country."
L'odyssée de Pi,"In Canada, a writer visits the Indian storyteller Pi Patel and asks him to tell his life story. Pi tells the story of his childhood in Pondicherry, India, and the origin of his nickname. One day, his father, a zoo owner, explains that the municipality is no longer supporting the zoo and he has hence decided to move to Canada, where the animals the family owns would also be sold. They board on a Japanese cargo ship with the animals and out of the blue, there is a storm, followed by a shipwrecking. Pi survives in a lifeboat with a zebra, an orangutan, a hyena and a male Bengal tiger nicknamed Richard Parker. They are adrift in the Pacific Ocean, with aggressive hyena and Richard Parker getting hungry. Pi needs to find a way to survive.Written byClaudio Carvalho, Rio de Janeiro, Brazil","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
Fantastic Mr. Fox,"This is the story of Mr. Fox (George Clooney) and his wild ways of hen heckling, turkey taking, and cider sipping, nocturnal, instinctive adventures. He has to put his wild days behind him and do what fathers do best: be responsible. He is too rebellious. He is too wild. He is going to try ""just one more raid"" on the three nastiest, meanest farmers that are Walter Boggis (Robin Hurlstone), Nathan Bunce (Hugo Guinness), and Franklin Bean (Sir Michael Gambon). It is a tale of crossing the line of family responsibilities and midnight adventure and the friendships and awakenings of this country life that is inhabited by Fantastic Mr. Fox and his friends.Written byCinema_Fan",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
C.R.A.Z.Y.,"Born Christmas Day 1960, Zac Beaulieu is the fourth of five sons of Gervais and Laurianne Beaulieu. Zac feels somewhat disconnected to his brothers, all of whom are different from each other. They include the bookworm Christian who is the eldest, the dumb jock Antoine who is third, and the youngest Yvan. But Zac has the most contempt for his second eldest brother, the shiftless druggie Raymond. To his devout Catholic mother, Zac is her miracle son, both for being born the same day as Jesus Christ (a fact which Zac has always hated), and because a Tupperware-selling mystic once told her that he has the power to heal. Laurianne has always coddled Zac, the two who have a special if unspoken bond. But Zac wants more to please his father, who wants more than anything in his sons that they grow up to be man's men and not sissies. As Zac goes through his mid-teens to early twenties, Zac isn't sure if he can live up to the ideals of either his mother or especially his father. A young man with...Written byHuggo","A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
Simon,"Enterprising liberal Jew Simon Cohen is the lawless lord of an Amsterdam neighborhood, running a 'coffee' shop' (legal soft drugs sale). As soon as they bump into each-other, Simon fascinates gay, up to then conventionalist Jewish dentistry student Camiel Vrolijk and draws him into his libertine world, even all the way to Thailand for B-movie making. Having seduced Simon's whorish girl, embarrassed Simon leaves quietly. Ten years later, the dentist, now settled with a gay partner, lawyer Bram, meets the new cancer-terminal but affluent Simon again.Written byKGF Vissers",A mild-mannered gay dentist and a hedonist womanizer rekindle their unlikely friendship when the latter's terminal cancer drives them back together after a decade apart.
"Va, vis et deviens","In 1980 the black Falashas in Ethiopia are recognised as genuine Jews. In turn they are secretly carried to Israel. The day before the transport the son of a Jewish mother dies. In his place and with his name (Schlomo) she takes a Christian 9-year-old boy. Upon arrival this second mother dies. Schlomo is adopted by a good family but remains depressed until he secretly sends a letter to his real mother. From the beginning he experiences large and small racist difficulties. In his teens he and Sarah fall in love. Her father is an extreme racist. Schlomo tries to gain ""real Jewishness"" by winning a competition in Bible interpretation. No change of Sarah's father's attitude. Disappointed he goes to the police and reports himself as not being a Jew. But the police officer just gives him a scolding. ""The newspapers are full of that stuff, the Falashas are no Jews. Now they begin to believe it themselves."" His adoptive parents send him to France to study medicine. When he afterwards marries ...Written byMax Scharnberg, Stockholm, Sweden",A Christian boy escapes to Israel from famine-stricken Ethiopia by pretending to be Jewish.
Voces inocentes,"A young boy, in an effort to have a normal childhood in 1980's El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him.","A young boy, in an effort to have a normal childhood in 1980's El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him."
Les choristes,"Fond de l'Etang is a boarding school for troubled boys located in the French countryside. In the mid-twentieth century, it is run by the principal M. Rachin, an egotistical disciplinarian whose official unofficial mantra for the school is ""action - reaction"", meaning that there will be severe consequences for any boy out of line. This approach does not seem to be working as the boys as a collective are an unruly bunch. In turn, the teachers don't teach, but are always watching out for the next subversive act from the boys. January 15, 1949 marks the arrival to the school of the new supervisor, M. Clément Mathieu, a middle-aged man who is grasping at finding his place in life after a series of failed endeavors. Although he does find the boys an unruly lot, Mathieu does not believe in the ""action - reaction"" policy, and as such, butts heads with Rachin while secretly undermining the policy. Slowly, Mathieu's approach of trying to match the discipline to the crime does have a positive ...Written byHuggo",The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
Iron Man,"Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.Written byhalo1k","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
Shaun of the Dead,"Shaun (Simon Pegg) doesn't have a very good day, so he decides to turn his life around by getting his ex to take him back, but he times it for right in the middle of what may be a zombie apocalypse. But for him, it's an opportunity to show everyone he knows how useful he is by saving them all. All he has to do is survive, and get his ex back.Written byInfest0125",A man's uneventful life is disrupted by the zombie apocalypse.
New York masala,"The film's female lead, Naina (Preity Zinta) narrates the story. Her father had committed suicide years ago which left a deep impact on her heart. Her family is dysfunctional since her mother and grandmother just cannot stop arguing. But when Aman (Shahrukh Khan) arrives next door, the whole gloomy conditions change. Aman infuses life in skeptical and overtly serious Naina, and she falls in love with him. But Aman knows that he cannot marry Naina because of a secret which he cannot divulge to her. So he intends upon setting her up with her best pal Rohit (Saif Ali Khan).Written bySoumitra","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Head-On,"In 'Gegen die Wand' Cahit, a 40-something male from Mersin in Turkey has removed everything Turkish from his life. He has become an alcoholic drug addict and at the start of the movie wants to end it all. Sibel a 20-something female from Hamburg wishes to please her Turkish parents yet yearns for freedom. She has had her nose broken by her brother for being seen holding hands with a boy and yet she can not break her mother's heart and run away. She too attempts suicide and she first approaches Cahit there at the Hospital. Sibel asks Cahit to marry her, as she believes this to be the way out of her parent's house. She promises Cahit that their relationship will be like roommates, not like a married couple. The film follows Sibel and Cahit as they get married, become closer and eventually fall in love.Written bySerena P.","With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
Mystic River,"In the summer of 1975 in a neighborhood in Boston, three kids, Dave Boyle and two of his friends, Jimmy Markum and Sean Devine, are playing on the sidewalk when Dave gets abducted by two men and endures several days of sexual abuse. Eventually, Dave escapes traumatized throughout adulthood. Jimmy is an ex-con and a father of three, whose daughter Katie, is found dead, and Dave becomes the number one suspect. Sean is a homicide detective, investigating Katie's murder, ends up finding himself faced with past and present demons as more is uncovered about Katie's murder. Learning Katie had a boyfriend, ballistics later turn up a gun belonging to the father, which then puts her boyfriend as the suspect. Will Sean find out who killed Katie? Will Jimmy make it through the investigation? And will Dave ever find out what really happened when he was abducted?Written bymichigans_finest",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
Soldier's Girl,The true story of the price a young soldier paid for falling in love with a transsexual night-club performer.,The true story of the price a young soldier paid for falling in love with a transsexual night-club performer.
Lakshya,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
Oasis,"Jong-du, a young man just out of prison for manslaughter, is a social misfit: fidgety, snuffling, laughing inappropriately, without a super ego. When released, he calls on the family of the victim; they send him away, but not before he has seen Gong-ju, a young woman disabled severely by cerebral palsy. Both are abused by their families, and both are used by them as well. Although their relationship begins with Jong-du's criminal behavior, a friendship develops. They talk of favorite things; he washes her hair; they go out; in late night phone calls, he helps her past her fears of the dark. Is there a place in the world for these two inarticulate people?Written by<jhailey@hotmail.com>",An irresponsible and childish ex-con befriends a girl with cerebral palsy and develops a progressively stronger bond with her.
Harry Potter et le Prisonnier d'Azkaban,"Harry Potter (Daniel Radcliffe) is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's (Richard Griffiths') sister Marge (Pam Ferris), who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black (Gary Oldman) has escaped from Azkaban Prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store.Written bySoumitra","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
Hero,"Ancient China and the Qin Empire is out to conquer the six kingdoms. This makes its king a target for assassination. However, one man has single-handedly ensured the safety of the king, by killing the three most notorious assassins in the land. Treated as a hero, he is summoned for an audience with the king.Written bygrantss","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
Company,"Mallik is a henchman of Aslam Bhai, a Mumbai underworld kingpin. He inducts local hothead Chandu into the gang, and the two of them soon form a formidable faction within the gang, eventually displacing Aslam. As the empire grows, however, the two of them start drifting apart.Written byJoyojeet Pal","A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai."
Millennium Actress,"A movie studio is being torn down. TV interviewer Genya Tachibana has tracked down its most famous star, Chiyoko Fujiwara, who has been a recluse since she left acting some 30 years ago. Tachibana delivers a key to her, and it causes her to reflect on her career; as she's telling the story, Tachibana and his long-suffering cameraman are drawn in. The key was given to her as a teenager by a painter and revolutionary that she helped to escape the police. She becomes an actress because it will make it possible to track him down, and she spends the next several decades acting out that search in various genres and eras.Written byJon Reeves <jreeves@imdb.com>",A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
Parle avec elle,"After a chance encounter at a theater, two men, Benigno and Marco, meet at a private clinic where Benigno works. Lydia, Marco's girlfriend and a bullfighter by profession, has been gored and is in a coma. It so happens that Benigno is looking after another woman in a coma, Alicia, a young ballet student. The lives of the four characters will flow in all directions, past, present and future, dragging all of them towards an unsuspected destiny.Written byAnonymous",Two men share an odd friendship while they care for two women who are both in deep comas.
No Man's Land,"After various skirmishes, two wounded soldiers, one Bosniak and one Serb, confront each other in a trench in the no man's land between their lines. They wait for dark, trading insults and even finding some common ground; sometimes one has the gun, sometimes the other, sometimes both. Things get complicated when another wounded Bosnian comes to, but can't move because a bouncing mine is beneath him. The two men cooperate to wave white flags, their lines call the UN (whose high command tries not to help), an English reporter shows up, a French sergeant shows courage, and the three men in no man's land may or may not find a way to all get along.Written by<jhailey@hotmail.com>","Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
Munje!,"Urban comedy, happening during a night in Belgrade. Mare, Pop and Gojko are three friends who grew up together. Mare and Pop have always been musicians, while Gojko (who was harassed by them in school and nicknamed 'Sissy') became a 'guy in suit', boss of his own club and recording studio. Pop and Mare call on their friend from school days to help them release the record, but all this doesn't go so smoothly. Gojko hasn't forgotten his school days and now he is surrounded by bodyguards. On their way to the club, Mare and Pop meet false Santa Claus, 'cool' cop and of course - girls.Written byAnonymous","Urban comedy, happening during a night in Belgrade. Mare, Pop and Gojko are three friends who grew up together. Mare and Pop have always been musicians, while Gojko (who was harassed by ...                See full summary »"
"Cowboy Bebop, le film","The year is 2071. Following a terrorist bombing, a deadly virus is released on the populace of Mars and the government has issued a 300 million woo-long reward, the largest bounty in history, for the capture of whoever is behind it. The bounty hunter crew of the spaceship Bebop; Spike, Faye, Jet and Ed, take the case with hopes of cashing in the bounty. However, the mystery surrounding the man responsible, Vincent, goes deeper than they ever imagined, and they aren't the only ones hunting him. The original creators of the virus have dispatched Electra to deal with Vincent and take out anyone who may stumble on the truth behind him. As the hunt for the man with no past and no future continues to escalate, they begin to question what about the world is reality and what is a dream as the line between sanity and insanity becomes more apparent.Written byAnonymous","A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit."
La mémoire dans la peau,"When a body is recovered at sea still alive, the mystery man (Damon) seems to have forgotten everything in life, including who he was. Eventually he begins to remember smaller details in life and soon finds out that his name was Jason Bourne. What he doesn't like is the gun and fake passports belonging to him. Now Bourne, and his new friend, Marie Helena Kreutz (Potente) travel from country to country in search of his new identity. But someone is not happy to see him alive, and is frantically trying to track him down.Written byPeet","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
Les neuf reines,"Early one morning, Marcos observes Juan successfully pulling off a bill-changing scam on a cashier, and then getting caught as he attempts to pull the same trick on the next shift. Marcos steps in, claiming to be a policeman, and drags Juan out of the store. Once they are back on the street, Marcos reveals himself to be a fellow swindler with a game of much higher stakes in mind, and he invites Juan to be his partner in crime. A once-in-a-lifetime scheme seemingly falls into their laps - an old-time con man enlists them to sell a forged set of extremely valuable rare stamps, The Nine Queens. The tricky negotiations that ensue bring into the picture a cast of suspicious characters, including Marcos' sister Valeria, their younger brother Federico and a slew of thieves, conmen and pickpockets. As the deceptions mount, it becomes more and more difficult to figure out who is conning whom.Written byFarsante","Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
Hey Ram,"The film starts with Saketh Ram as a very old man and almost immediately goes into flashback. As a young man he is among his friends, in conviviality. He has taken a Bengali wife, Aparna, and everything is wonderful in his life, However the year is 1946, and the imminent independence of India from British suzerainty is complicated by religious antagonism between the Hindu majority and the large Muslim minority, who demand their own independent state. Saketh and Aparna visit Calcutta; rioting is reported, but Saketh goes out to get some food, and he soon encounters a Hindu woman being chased by Muslim rioters. He rescues her, but the rioters later come to his house, and brutally rape and then kill his wife. Saketh is devastated and takes to the streets, determined personally to kill as many Muslims as he can find. He meets up with Sriram Abhiyankar, who is leading a group of Hindu extremists, and Saketh becomes temporarily taken with the cause himself. At the same time, he is persuaded...Written byHazel Freeman",Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.
Les Fils de l'homme,"London, 2027. In this dystopian world, humans have been incapable of reproducing for eighteen years for an unknown reason, meaning the imminent extinction of the species. Britain is the one remaining civilized society on the planet, which has resulted in people wanting to immigrate there. As such, it has become a police state in order to handle the immigrants, who are placed into refugee camps. Lowly government bureaucrat Theo Faron, once an activist, is approached by the Fishes, deemed a terrorist group, led by his ex-wife Julian Taylor, who he has not seen in close to twenty years, their marriage which disintegrated following the death of their infant son Dylan during the 2008 flu pandemic. Although the Fishes did use terrorist means in their on-going revolution against the state in the fight for immigrant rights, Julian vows that they now garner support solely by speaking to the people. What she wants is for Theo to use his connections to get transit papers for a young immigrant ...Written byHuggo","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Tout sur ma mère,"Argentine Manuela Echevarria, an organ transplant coordinator at a Madrid hospital, ran off from her husband in Barcelona eighteen years ago upon learning that she was pregnant, their son, Esteban, who she has never told about his father despite his curiosity, and her husband who didn't know about the pregnancy when she ran off. An event coinciding with Esteban, an aspiring writer, turning seventeen leads to Manuela feeling the need to return to Barcelona to look for her husband. There, she ends up further acting as the maternal figure for people in need. One is a young nun named Sister Rosa, who she meets through her old friend, a transvestite prostitute who has assumed the name Agrado in her agreeable nature. Rosa has a strained relationship with her own conservative mother, as she is consumed with caring for her ill husband, who suffers from Alzheimer's. The other is actress Huma Rojo, currently appearing as Blanche Dubois in a stage production of A Streetcar Named Desire, which ...Written byHuggo","Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela."
Presque célèbre,"The early 1970s. William Miller is 15-years old and an aspiring rock journalist. He gets a job writing for Rolling Stone magazine. His first assignment: tour with the band Stillwater and write about the experience. Miller will get to see what goes on behind the scenes in a famous band, including the moments when things fall apart. Moreover, for him, it will be a period of new experiences and finding himself.Written bygrantss",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
Ajans-E Shisheh-I,The Glass Agency is the story of a war veteran living in post war Iran. It depicts veterans who are suffering from social problems after the war. Society does not understand them and the standard social norms are not in harmony with their personalities.Written byJerome,The Glass Agency is the story of a war veteran living in post war Iran. It depicts veterans who are suffering from social problems after the war. Society does not understand them and the ...                See full summary »
Mulholland Drive,"Still untarnished by the false promises of the rapacious film industry, the wide-eyed actress, Betty, sets foot on bustling, sun-kissed Hollywood. Brimming with hope, and eager to spread her wings and prove her worth, Betty moves in Aunt Ruth's expensive apartment, unbeknownst to her, however, that fate has other plans in store for her, setting the stage for life-altering experiences with the unexpected, the indecipherable, and the unknown. Now, in the centre of an elaborate labyrinth of half-truths, faded memories, unrequited loves, and dangerous encounters with the city's ugly face lies a strange key to a mysterious keyhole, an even stranger indigo-blue cube, the young director, Adam, and one cryptic woman: the amnesiac brunette and devilishly seductive car-crash survivor, Rita. But, time flies and Rita's opaque past demands answers. After all, both women deserve the truth. What is the secret of the serpentine, dream-crushing Mulholland Drive?Written byNick Riganas","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
L'éternité et un jour,"Alexander, an old writer, is ill and prepared to die. He says his goodbyes and recalls his life with his wife long ago. While driving his car he saves a street kid, an illegal immigrant from Albania, from being arrested. Later in the day, by chance, he sees the same boy being abducted, and follows in his car. Although he is preoccupied with his own regrets, he puts death on hold to find a way to help the boy.Written byPeter Brandt Nielsen","Famous writer Alexander is very ill and has little time left to live. He meets a little boy on the street, who is an illegal immigrant from Albania, and goes on a journey with him to take the boy home."
Shrek,"When a green ogre named Shrek discovers his swamp has been 'swamped' with all sorts of fairytale creatures by the scheming Lord Farquaad, Shrek sets out with a very loud donkey by his side to 'persuade' Farquaad to give Shrek his swamp back. Instead, a deal is made. Farquaad, who wants to become the King, sends Shrek to rescue Princess Fiona, who is awaiting her true love in a tower guarded by a fire-breathing dragon. But once they head back with Fiona, it starts to become apparent that not only does Shrek, an ugly ogre, begin to fall in love with the lovely princess, but Fiona is also hiding a huge secret.Written byFilm_Fan","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Toy Story 2,"While Andy is away at summer camp Woody has been toynapped by Al McWiggin, a greedy collector and proprietor of ""Al's Toy Barn""! In this all-out rescue mission, Buzz and his friends Mr. Potato Head, Slinky Dog, Rex and Hamm springs into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again!Written byAnthony Pereyra <hypersonic91@yahoo.com>","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
Paradis express,"Two young men, Martin Brest (Til Schweiger) and Rudi Wurlitzer (Jan Josef Liefers), both suffering from terminal cancer, get to know each other in a hospital room. They drown their desperation in tequila and decide to take one last trip to the sea. Drunk, and still in pajamas, they steal the first fancy car they find, a 1960s Mercedes convertible. The car happens to belong to a bunch of gangsters, who immediately start to chase it, since it contains more than the pistol Martin finds in the glove box.Written byArmin Ortmann <armin@sfb288.math.tu-berlin.de>","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
Border,"The year is 1971 when the Pakistani Army is at war with the Indian Soldiers. The Indian battalion is posted in Longewala region in Punjab and are just 150 in number while the Pakistani Army consists of 2000 armed soldiers with tanks. This movie is a landmark in Hindi Cinema and watch how the drama unfolds and the Indian soldiers fight for the pride of their motherland. Commendable performances from Jackie Shroff, Sudesh Berry, Sunil Shetty and Sunny Deol and excellent acting by Akshay Khanna.Written byKanhaiya Maheshwary","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force."
Boogie Nights,"Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting.Written bygarykmcd","Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent."
Si tu tends l'oreille,"A young Japanese middle school girl finds that all the books she chooses in the library have been previously checked out by the same boy. Later she meets a very infuriating fellow... could it be her ""friend"" from the library? The boy's grandfather has a violin sales and service shop. The boy wants to be a violin maker like his grandfather.Written byDana Anthony <ranthony@intrex.net>","A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
Love Letter,"Hiroko Watanabe's fiancé Itsuki died two years earlier in a mountain climbing accident. While looking through his high school yearbook, Hiroko in a fit of grief decides to write a letter to him using his old school address. Surprisingly she receives a reply, not from the dead Itsuki, but from a woman with the same name whom had known Hiroko's fiancé in school. A relationship develops between the two women as they continue to exchange letters and share memories of the dead Itsuki.Written byTodd K. Bowman <tkbowman@aol.com>",When exchanging letters two women discover new things about a man they knew.
Soleil trompeur,"Russia, 1936: revolutionary hero Colonel Kotov is spending an idyllic summer in his village with his young wife and six-year-old daughter Nadia and other assorted family and friends. Things change dramatically with the unheralded arrival of Cousin Dmitri from Moscow, who charms the women and little Nadia with his games and pianistic bravura. But Kotov isn't fooled: this is the time of Stalin's repression, with telephone calls in the middle of the night spelling doom - and he knows that Dmitri isn't paying a social call...Written byMichael Brooke <michael@everyman.demon.co.uk>","In the Soviet Union in 1936, shadow of Stalin's repressions lie on a famous revolution hero. The accusations of being him a foreign spy are nonsense, and all known that, but a slow process of his life's downfall is already running."
L'âme des guerriers,"Set in urban Auckland (New Zealand) this movie tells the story of the Heke family. Jake Heke is a violent man who beats his wife frequently when drunk, and yet obviously loves both her and his family. The movie follows a period of several weeks in the family's life showing Jake's frequent outburst of violence and the effect that this has on his family. The youngest son is in trouble with the police and may be put into a foster home while the elder son is about to join a street gang. Jake's daughter has her own serious problems which are a key element in the plot.Written byChris Maslin <maslinc@cad.canterbury.ac.nz>",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
True Romance,"In Detroit, Clarence Worley goes to the movie theater alone on the day of his birthday to watch some movies. The gorgeous Alabama Whitman accidentally drops her popcorn on Clarence and they watch the movie together. Later they go to a diner for pie, and end up having a one night stand. In the morning, Alabama confesses that she is a call-girl hired to spend the night with him, but she has fallen in love with him. In the morning they get married and Clarence goes to the club where she worked to bring her some clothes. However, her pimp Drexl Spivey and his partner beat up Clarence and he reacts by killing them both. Clarence asks for Alabama's suitcase with her clothes and the other girls mistakenly give another one with cocaine. When Clarence discovers the mistake, he decides to travel with Alabama to the house of his friend, the aspiring actor Dick Ritchie, to sell the drug and travel to Mexico. He visits his father Clifford Worley and gives his address to him. But the Sicilian Mafia...Written byClaudio Carvalho, Rio de Janeiro, Brazil","In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
Trois couleurs: Bleu,"The first part of Kieslowski's trilogy on France's national motto: Liberty, Equality, and Fraternity. 'Blue' is the story of Julie who loses her husband, an acclaimed composer and her young daughter in a car accident. The film's theme of liberty is manifested in Julie's attempt to start life anew, free of personal commitments, belongings, grief or love. She intends to numb herself by withdrawing from the world and living completely independently, anonymously and in solitude in the Parisian metropolis. Despite her intentions, people from her former and present life intrude with their own needs. However, the reality created by the people who need and care about her, a surprising discovery and the music around which the film revolves heal Julie and draws her back to the land of the living.Written byAnonymous",A woman struggles to find a way to live her life after the death of her husband and child.
Ninja Scroll,"A Journeyman ninja by name of Jubei stumbles upon a plague, an evil clan of demons, a national crisis, and a beautiful ninja girl.Written byAnonymous",A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.
L'impasse,"A Puerto Rican ex-con pledges to stay away from his former drug dealing ways but finds himself being dragged back by his past connections and the naive machinations of his lawyer and best friend. Hoping to raise enough money to get away from New York, Carlito Brigante takes on the job of running a nightclub, renews an affair with a dancer but old associates and old instincts suck him back into a world of violence and mistrust.Written byKeith Loh <loh@sfu.ca>","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
Et la vie continue,"After the earthquake of Guilan, the film director and his son, Puya, travel to the devastated area to search for the actors of the movie the director made there a few years ago, Khane-ye Doust Kodjast? (1987). In their search, they found how people who had lost everything in the earthquake still have hope and try to live life to the fullest.Written bySam Tabibia <samtab@uclink.berkeley.edu>","A director and his son return to a region damaged by the Guilan earthquake, hoping to find the children who appeared in his film a few years earlier."
"Attention, papa arrive!","After ordering enough typewriting paper for 40 years, just to get discount, Heinrich Lohse is forced to retire. The former manager has plenty of time now to spend with his wife and their 16 year old son. But - do they want that?Written byMarkus Lasermann <mslaserm@trick.informatik.uni-stuttgart.de>","After ordering enough typewriting paper for 40 years, just to get discount, Heinrich Lohse is forced to retire. The former manager has plenty of time now to spend with his wife and their 16...                See full summary »"
Edward aux mains d'argent,"In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse.Written byFilmFanUK","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
My Left Foot,"Christy Brown is born with cerebral palsy to a large, poor Irish family. His mother, Mrs. Brown, recognizes the intelligence and humanity in the lad everyone else regards as a vegetable. Eventually, Christy matures into a cantankerous artist who uses his dexterous left foot to write and paint.Written byReid Gagle","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
"Kiki, la petite sorcière","This is the story of a young witch, named Kiki who is now 13 years old. But she is still a little green and plenty headstrong, but also resourceful, imaginative, and determined. With her trusty wisp of a talking cat named Jiji by her side she's ready to take on the world, or at least the quaintly European seaside village she's chosen as her new home.Written byAnthony Pereyra (hypersonic91@yahoo.com)","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
